7
cluster: 0: length: 7074
[7, 3, 4]: ['10.0.0.8', '10.0.0.4', 'https']
[8, 6, 4]: ['10.0.0.9', '10.0.0.7', 'https']
[2, 6, 4]: ['10.0.0.3', '10.0.0.7', 'https']
[8, 9, 4]: ['10.0.0.9', '10.0.0.10', 'https']
[9, 1, 4]: ['10.0.0.10', '10.0.0.2', 'https']
[2, 8, 4]: ['10.0.0.3', '10.0.0.9', 'https']
[5, 7, 4]: ['10.0.0.6', '10.0.0.8', 'https']
[8, 4, 4]: ['10.0.0.9', '10.0.0.5', 'https']
[6, 4, 4]: ['10.0.0.7', '10.0.0.5', 'https']
[0, 2, 4]: ['10.0.0.1', '10.0.0.3', 'https']
[7, 0, 4]: ['10.0.0.8', '10.0.0.1', 'https']
[7, 2, 4]: ['10.0.0.8', '10.0.0.3', 'https']
[5, 9, 4]: ['10.0.0.6', '10.0.0.10', 'https']
[7, 5, 4]: ['10.0.0.8', '10.0.0.6', 'https']
[5, 4, 4]: ['10.0.0.6', '10.0.0.5', 'https']
[2, 5, 4]: ['10.0.0.3', '10.0.0.6', 'https']
[3, 6, 4]: ['10.0.0.4', '10.0.0.7', 'https']
[4, 6, 4]: ['10.0.0.5', '10.0.0.7', 'https']
[9, 8, 4]: ['10.0.0.10', '10.0.0.9', 'https']
[5, 1, 4]: ['10.0.0.6', '10.0.0.2', 'https']
[1, 9, 4]: ['10.0.0.2', '10.0.0.10', 'https']
[5, 9, 4]: ['10.0.0.6', '10.0.0.10', 'https']
[4, 2, 4]: ['10.0.0.5', '10.0.0.3', 'https']
[0, 5, 4]: ['10.0.0.1', '10.0.0.6', 'https']
[0, 3, 4]: ['10.0.0.1', '10.0.0.4', 'https']
[6, 7, 4]: ['10.0.0.7', '10.0.0.8', 'https']
[3, 8, 4]: ['10.0.0.4', '10.0.0.9', 'https']
[5, 3, 4]: ['10.0.0.6', '10.0.0.4', 'https']
[2, 3, 4]: ['10.0.0.3', '10.0.0.4', 'https']
[8, 5, 4]: ['10.0.0.9', '10.0.0.6', 'https']
[6, 4, 4]: ['10.0.0.7', '10.0.0.5', 'https']
[7, 9, 4]: ['10.0.0.8', '10.0.0.10', 'https']
[0, 3, 4]: ['10.0.0.1', '10.0.0.4', 'https']
[2, 9, 4]: ['10.0.0.3', '10.0.0.10', 'https']
[3, 9, 4]: ['10.0.0.4', '10.0.0.10', 'https']
[9, 2, 4]: ['10.0.0.10', '10.0.0.3', 'https']
[2, 6, 4]: ['10.0.0.3', '10.0.0.7', 'https']
[7, 4, 4]: ['10.0.0.8', '10.0.0.5', 'https']
[7, 2, 4]: ['10.0.0.8', '10.0.0.3', 'https']
[0, 1, 4]: ['10.0.0.1', '10.0.0.2', 'https']
[1, 8, 4]: ['10.0.0.2', '10.0.0.9', 'https']
[8, 7, 4]: ['10.0.0.9', '10.0.0.8', 'https']
[3, 1, 4]: ['10.0.0.4', '10.0.0.2', 'https']
[2, 8, 4]: ['10.0.0.3', '10.0.0.9', 'https']
[4, 7, 4]: ['10.0.0.5', '10.0.0.8', 'https']
[7, 8, 4]: ['10.0.0.8', '10.0.0.9', 'https']
[3, 2, 4]: ['10.0.0.4', '10.0.0.3', 'https']
[6, 2, 4]: ['10.0.0.7', '10.0.0.3', 'https']
[5, 8, 4]: ['10.0.0.6', '10.0.0.9', 'https']
[4, 7, 4]: ['10.0.0.5', '10.0.0.8', 'https']
[2, 7, 4]: ['10.0.0.3', '10.0.0.8', 'https']
[3, 2, 4]: ['10.0.0.4', '10.0.0.3', 'https']
[0, 3, 4]: ['10.0.0.1', '10.0.0.4', 'https']
[8, 2, 4]: ['10.0.0.9', '10.0.0.3', 'https']
[1, 8, 4]: ['10.0.0.2', '10.0.0.9', 'https']
[5, 6, 4]: ['10.0.0.6', '10.0.0.7', 'https']
[5, 8, 4]: ['10.0.0.6', '10.0.0.9', 'https']
[4, 1, 4]: ['10.0.0.5', '10.0.0.2', 'https']
[5, 2, 4]: ['10.0.0.6', '10.0.0.3', 'https']
[9, 6, 4]: ['10.0.0.10', '10.0.0.7', 'https']
[1, 3, 4]: ['10.0.0.2', '10.0.0.4', 'https']
[6, 7, 4]: ['10.0.0.7', '10.0.0.8', 'https']
[2, 3, 4]: ['10.0.0.3', '10.0.0.4', 'https']
[7, 9, 4]: ['10.0.0.8', '10.0.0.10', 'https']
[6, 1, 4]: ['10.0.0.7', '10.0.0.2', 'https']
[8, 7, 4]: ['10.0.0.9', '10.0.0.8', 'https']
[0, 6, 4]: ['10.0.0.1', '10.0.0.7', 'https']
[0, 7, 4]: ['10.0.0.1', '10.0.0.8', 'https']
[5, 0, 4]: ['10.0.0.6', '10.0.0.1', 'https']
[6, 5, 4]: ['10.0.0.7', '10.0.0.6', 'https']
[3, 0, 4]: ['10.0.0.4', '10.0.0.1', 'https']
[9, 8, 4]: ['10.0.0.10', '10.0.0.9', 'https']
[7, 4, 4]: ['10.0.0.8', '10.0.0.5', 'https']
[1, 2, 4]: ['10.0.0.2', '10.0.0.3', 'https']
[9, 1, 4]: ['10.0.0.10', '10.0.0.2', 'https']
[5, 2, 4]: ['10.0.0.6', '10.0.0.3', 'https']
[5, 7, 4]: ['10.0.0.6', '10.0.0.8', 'https']
[4, 7, 4]: ['10.0.0.5', '10.0.0.8', 'https']
[5, 1, 4]: ['10.0.0.6', '10.0.0.2', 'https']
[9, 3, 4]: ['10.0.0.10', '10.0.0.4', 'https']
[5, 8, 4]: ['10.0.0.6', '10.0.0.9', 'https']
[2, 4, 4]: ['10.0.0.3', '10.0.0.5', 'https']
[6, 9, 4]: ['10.0.0.7', '10.0.0.10', 'https']
[6, 9, 4]: ['10.0.0.7', '10.0.0.10', 'https']
[3, 9, 4]: ['10.0.0.4', '10.0.0.10', 'https']
[4, 0, 4]: ['10.0.0.5', '10.0.0.1', 'https']
[1, 3, 4]: ['10.0.0.2', '10.0.0.4', 'https']
[2, 0, 4]: ['10.0.0.3', '10.0.0.1', 'https']
[3, 0, 4]: ['10.0.0.4', '10.0.0.1', 'https']
[7, 3, 4]: ['10.0.0.8', '10.0.0.4', 'https']
[7, 2, 4]: ['10.0.0.8', '10.0.0.3', 'https']
[4, 8, 4]: ['10.0.0.5', '10.0.0.9', 'https']
[3, 8, 4]: ['10.0.0.4', '10.0.0.9', 'https']
[9, 8, 4]: ['10.0.0.10', '10.0.0.9', 'https']
[3, 6, 4]: ['10.0.0.4', '10.0.0.7', 'https']
[9, 2, 4]: ['10.0.0.10', '10.0.0.3', 'https']
[9, 8, 4]: ['10.0.0.10', '10.0.0.9', 'https']
[4, 9, 4]: ['10.0.0.5', '10.0.0.10', 'https']
[0, 4, 4]: ['10.0.0.1', '10.0.0.5', 'https']
[0, 8, 4]: ['10.0.0.1', '10.0.0.9', 'https']
[2, 8, 4]: ['10.0.0.3', '10.0.0.9', 'https']
[2, 8, 4]: ['10.0.0.3', '10.0.0.9', 'https']
[1, 3, 4]: ['10.0.0.2', '10.0.0.4', 'https']
[8, 4, 4]: ['10.0.0.9', '10.0.0.5', 'https']
[7, 4, 4]: ['10.0.0.8', '10.0.0.5', 'https']
[8, 3, 4]: ['10.0.0.9', '10.0.0.4', 'https']
[1, 6, 4]: ['10.0.0.2', '10.0.0.7', 'https']
[3, 9, 4]: ['10.0.0.4', '10.0.0.10', 'https']
[2, 5, 4]: ['10.0.0.3', '10.0.0.6', 'https']
[9, 0, 4]: ['10.0.0.10', '10.0.0.1', 'https']
[8, 6, 4]: ['10.0.0.9', '10.0.0.7', 'https']
[0, 6, 4]: ['10.0.0.1', '10.0.0.7', 'https']
[3, 5, 4]: ['10.0.0.4', '10.0.0.6', 'https']
[6, 3, 4]: ['10.0.0.7', '10.0.0.4', 'https']
[8, 7, 4]: ['10.0.0.9', '10.0.0.8', 'https']
[3, 7, 4]: ['10.0.0.4', '10.0.0.8', 'https']
[9, 7, 4]: ['10.0.0.10', '10.0.0.8', 'https']
[4, 5, 4]: ['10.0.0.5', '10.0.0.6', 'https']
[0, 5, 4]: ['10.0.0.1', '10.0.0.6', 'https']
[1, 2, 4]: ['10.0.0.2', '10.0.0.3', 'https']
[3, 8, 4]: ['10.0.0.4', '10.0.0.9', 'https']
[6, 0, 4]: ['10.0.0.7', '10.0.0.1', 'https']
[3, 9, 4]: ['10.0.0.4', '10.0.0.10', 'https']
[8, 7, 4]: ['10.0.0.9', '10.0.0.8', 'https']
[7, 1, 4]: ['10.0.0.8', '10.0.0.2', 'https']
[9, 2, 4]: ['10.0.0.10', '10.0.0.3', 'https']
[1, 2, 4]: ['10.0.0.2', '10.0.0.3', 'https']
[0, 4, 4]: ['10.0.0.1', '10.0.0.5', 'https']
[7, 2, 4]: ['10.0.0.8', '10.0.0.3', 'https']
[0, 3, 4]: ['10.0.0.1', '10.0.0.4', 'https']
[1, 2, 4]: ['10.0.0.2', '10.0.0.3', 'https']
[8, 5, 4]: ['10.0.0.9', '10.0.0.6', 'https']
[4, 6, 4]: ['10.0.0.5', '10.0.0.7', 'https']
[7, 5, 4]: ['10.0.0.8', '10.0.0.6', 'https']
[7, 4, 4]: ['10.0.0.8', '10.0.0.5', 'https']
[9, 0, 4]: ['10.0.0.10', '10.0.0.1', 'https']
[6, 4, 4]: ['10.0.0.7', '10.0.0.5', 'https']
[9, 2, 4]: ['10.0.0.10', '10.0.0.3', 'https']
[8, 9, 4]: ['10.0.0.9', '10.0.0.10', 'https']
[0, 9, 4]: ['10.0.0.1', '10.0.0.10', 'https']
[5, 9, 4]: ['10.0.0.6', '10.0.0.10', 'https']
[1, 6, 4]: ['10.0.0.2', '10.0.0.7', 'https']
[5, 4, 4]: ['10.0.0.6', '10.0.0.5', 'https']
[4, 9, 4]: ['10.0.0.5', '10.0.0.10', 'https']
[9, 2, 4]: ['10.0.0.10', '10.0.0.3', 'https']
[7, 6, 4]: ['10.0.0.8', '10.0.0.7', 'https']
[6, 7, 4]: ['10.0.0.7', '10.0.0.8', 'https']
[4, 0, 4]: ['10.0.0.5', '10.0.0.1', 'https']
[8, 9, 4]: ['10.0.0.9', '10.0.0.10', 'https']
[9, 0, 4]: ['10.0.0.10', '10.0.0.1', 'https']
[1, 8, 4]: ['10.0.0.2', '10.0.0.9', 'https']
[9, 7, 4]: ['10.0.0.10', '10.0.0.8', 'https']
[6, 3, 4]: ['10.0.0.7', '10.0.0.4', 'https']
[4, 7, 4]: ['10.0.0.5', '10.0.0.8', 'https']
[5, 4, 4]: ['10.0.0.6', '10.0.0.5', 'https']
[6, 7, 4]: ['10.0.0.7', '10.0.0.8', 'https']
[1, 0, 4]: ['10.0.0.2', '10.0.0.1', 'https']
[7, 5, 4]: ['10.0.0.8', '10.0.0.6', 'https']
[5, 9, 4]: ['10.0.0.6', '10.0.0.10', 'https']
[6, 8, 4]: ['10.0.0.7', '10.0.0.9', 'https']
[8, 9, 4]: ['10.0.0.9', '10.0.0.10', 'https']
[7, 6, 4]: ['10.0.0.8', '10.0.0.7', 'https']
[2, 8, 4]: ['10.0.0.3', '10.0.0.9', 'https']
[6, 8, 4]: ['10.0.0.7', '10.0.0.9', 'https']
[4, 6, 4]: ['10.0.0.5', '10.0.0.7', 'https']
[2, 5, 4]: ['10.0.0.3', '10.0.0.6', 'https']
[4, 5, 4]: ['10.0.0.5', '10.0.0.6', 'https']
[4, 1, 4]: ['10.0.0.5', '10.0.0.2', 'https']
[1, 2, 4]: ['10.0.0.2', '10.0.0.3', 'https']
[9, 0, 4]: ['10.0.0.10', '10.0.0.1', 'https']
[6, 5, 4]: ['10.0.0.7', '10.0.0.6', 'https']
[1, 8, 4]: ['10.0.0.2', '10.0.0.9', 'https']
[9, 6, 4]: ['10.0.0.10', '10.0.0.7', 'https']
[3, 8, 4]: ['10.0.0.4', '10.0.0.9', 'https']
[1, 6, 4]: ['10.0.0.2', '10.0.0.7', 'https']
[4, 7, 4]: ['10.0.0.5', '10.0.0.8', 'https']
[5, 3, 4]: ['10.0.0.6', '10.0.0.4', 'https']
[3, 0, 4]: ['10.0.0.4', '10.0.0.1', 'https']
[3, 5, 4]: ['10.0.0.4', '10.0.0.6', 'https']
[2, 6, 4]: ['10.0.0.3', '10.0.0.7', 'https']
[5, 2, 4]: ['10.0.0.6', '10.0.0.3', 'https']
[3, 6, 4]: ['10.0.0.4', '10.0.0.7', 'https']
[2, 5, 4]: ['10.0.0.3', '10.0.0.6', 'https']
[5, 7, 4]: ['10.0.0.6', '10.0.0.8', 'https']
[2, 6, 4]: ['10.0.0.3', '10.0.0.7', 'https']
[6, 2, 4]: ['10.0.0.7', '10.0.0.3', 'https']
[6, 9, 4]: ['10.0.0.7', '10.0.0.10', 'https']
[1, 4, 4]: ['10.0.0.2', '10.0.0.5', 'https']
[6, 7, 4]: ['10.0.0.7', '10.0.0.8', 'https']
[4, 1, 4]: ['10.0.0.5', '10.0.0.2', 'https']
[9, 4, 4]: ['10.0.0.10', '10.0.0.5', 'https']
[8, 6, 4]: ['10.0.0.9', '10.0.0.7', 'https']
[0, 3, 4]: ['10.0.0.1', '10.0.0.4', 'https']
[6, 2, 4]: ['10.0.0.7', '10.0.0.3', 'https']
[6, 8, 4]: ['10.0.0.7', '10.0.0.9', 'https']
[8, 2, 4]: ['10.0.0.9', '10.0.0.3', 'https']
[0, 8, 4]: ['10.0.0.1', '10.0.0.9', 'https']
[0, 9, 4]: ['10.0.0.1', '10.0.0.10', 'https']
[6, 7, 4]: ['10.0.0.7', '10.0.0.8', 'https']
[6, 9, 4]: ['10.0.0.7', '10.0.0.10', 'https']
[1, 9, 4]: ['10.0.0.2', '10.0.0.10', 'https']
[2, 4, 4]: ['10.0.0.3', '10.0.0.5', 'https']
[9, 3, 4]: ['10.0.0.10', '10.0.0.4', 'https']
[0, 3, 4]: ['10.0.0.1', '10.0.0.4', 'https']
[0, 9, 4]: ['10.0.0.1', '10.0.0.10', 'https']
[0, 7, 4]: ['10.0.0.1', '10.0.0.8', 'https']
[3, 2, 4]: ['10.0.0.4', '10.0.0.3', 'https']
[8, 9, 4]: ['10.0.0.9', '10.0.0.10', 'https']
[6, 7, 4]: ['10.0.0.7', '10.0.0.8', 'https']
[3, 8, 4]: ['10.0.0.4', '10.0.0.9', 'https']
[5, 6, 4]: ['10.0.0.6', '10.0.0.7', 'https']
[3, 5, 4]: ['10.0.0.4', '10.0.0.6', 'https']
[4, 3, 4]: ['10.0.0.5', '10.0.0.4', 'https']
[7, 5, 4]: ['10.0.0.8', '10.0.0.6', 'https']
[2, 4, 4]: ['10.0.0.3', '10.0.0.5', 'https']
[8, 1, 4]: ['10.0.0.9', '10.0.0.2', 'https']
[3, 1, 4]: ['10.0.0.4', '10.0.0.2', 'https']
[3, 4, 4]: ['10.0.0.4', '10.0.0.5', 'https']
[8, 3, 4]: ['10.0.0.9', '10.0.0.4', 'https']
[2, 1, 4]: ['10.0.0.3', '10.0.0.2', 'https']
[2, 7, 4]: ['10.0.0.3', '10.0.0.8', 'https']
[1, 9, 4]: ['10.0.0.2', '10.0.0.10', 'https']
[1, 3, 4]: ['10.0.0.2', '10.0.0.4', 'https']
[9, 8, 4]: ['10.0.0.10', '10.0.0.9', 'https']
[6, 0, 4]: ['10.0.0.7', '10.0.0.1', 'https']
[1, 9, 4]: ['10.0.0.2', '10.0.0.10', 'https']
[1, 0, 4]: ['10.0.0.2', '10.0.0.1', 'https']
[6, 3, 4]: ['10.0.0.7', '10.0.0.4', 'https']
[1, 5, 4]: ['10.0.0.2', '10.0.0.6', 'https']
[1, 8, 4]: ['10.0.0.2', '10.0.0.9', 'https']
[0, 7, 4]: ['10.0.0.1', '10.0.0.8', 'https']
[6, 8, 4]: ['10.0.0.7', '10.0.0.9', 'https']
[5, 9, 4]: ['10.0.0.6', '10.0.0.10', 'https']
[9, 1, 4]: ['10.0.0.10', '10.0.0.2', 'https']
[0, 1, 4]: ['10.0.0.1', '10.0.0.2', 'https']
[8, 0, 4]: ['10.0.0.9', '10.0.0.1', 'https']
[0, 7, 4]: ['10.0.0.1', '10.0.0.8', 'https']
[5, 7, 4]: ['10.0.0.6', '10.0.0.8', 'https']
[6, 5, 4]: ['10.0.0.7', '10.0.0.6', 'https']
[5, 0, 4]: ['10.0.0.6', '10.0.0.1', 'https']
[6, 2, 4]: ['10.0.0.7', '10.0.0.3', 'https']
[2, 0, 4]: ['10.0.0.3', '10.0.0.1', 'https']
[6, 8, 4]: ['10.0.0.7', '10.0.0.9', 'https']
[7, 4, 4]: ['10.0.0.8', '10.0.0.5', 'https']
[3, 7, 4]: ['10.0.0.4', '10.0.0.8', 'https']
[7, 2, 4]: ['10.0.0.8', '10.0.0.3', 'https']
[0, 4, 4]: ['10.0.0.1', '10.0.0.5', 'https']
[2, 9, 4]: ['10.0.0.3', '10.0.0.10', 'https']
[5, 4, 4]: ['10.0.0.6', '10.0.0.5', 'https']
[7, 4, 4]: ['10.0.0.8', '10.0.0.5', 'https']
[0, 8, 4]: ['10.0.0.1', '10.0.0.9', 'https']
[6, 3, 4]: ['10.0.0.7', '10.0.0.4', 'https']
[7, 6, 4]: ['10.0.0.8', '10.0.0.7', 'https']
[4, 2, 4]: ['10.0.0.5', '10.0.0.3', 'https']
[2, 5, 4]: ['10.0.0.3', '10.0.0.6', 'https']
[6, 0, 4]: ['10.0.0.7', '10.0.0.1', 'https']
[6, 0, 4]: ['10.0.0.7', '10.0.0.1', 'https']
[4, 7, 4]: ['10.0.0.5', '10.0.0.8', 'https']
[6, 8, 4]: ['10.0.0.7', '10.0.0.9', 'https']
[7, 8, 4]: ['10.0.0.8', '10.0.0.9', 'https']
[6, 1, 4]: ['10.0.0.7', '10.0.0.2', 'https']
[0, 8, 4]: ['10.0.0.1', '10.0.0.9', 'https']
[9, 4, 4]: ['10.0.0.10', '10.0.0.5', 'https']
[1, 0, 4]: ['10.0.0.2', '10.0.0.1', 'https']
[4, 6, 4]: ['10.0.0.5', '10.0.0.7', 'https']
[1, 7, 4]: ['10.0.0.2', '10.0.0.8', 'https']
[0, 8, 4]: ['10.0.0.1', '10.0.0.9', 'https']
[3, 0, 4]: ['10.0.0.4', '10.0.0.1', 'https']
[7, 0, 4]: ['10.0.0.8', '10.0.0.1', 'https']
[8, 2, 4]: ['10.0.0.9', '10.0.0.3', 'https']
[1, 2, 4]: ['10.0.0.2', '10.0.0.3', 'https']
[9, 8, 4]: ['10.0.0.10', '10.0.0.9', 'https']
[5, 4, 4]: ['10.0.0.6', '10.0.0.5', 'https']
[2, 3, 4]: ['10.0.0.3', '10.0.0.4', 'https']
[4, 5, 4]: ['10.0.0.5', '10.0.0.6', 'https']
[1, 5, 4]: ['10.0.0.2', '10.0.0.6', 'https']
[9, 4, 4]: ['10.0.0.10', '10.0.0.5', 'https']
[9, 3, 4]: ['10.0.0.10', '10.0.0.4', 'https']
[4, 3, 4]: ['10.0.0.5', '10.0.0.4', 'https']
[9, 0, 4]: ['10.0.0.10', '10.0.0.1', 'https']
[3, 5, 4]: ['10.0.0.4', '10.0.0.6', 'https']
[3, 4, 4]: ['10.0.0.4', '10.0.0.5', 'https']
[9, 1, 4]: ['10.0.0.10', '10.0.0.2', 'https']
[7, 8, 4]: ['10.0.0.8', '10.0.0.9', 'https']
[5, 7, 4]: ['10.0.0.6', '10.0.0.8', 'https']
[5, 8, 4]: ['10.0.0.6', '10.0.0.9', 'https']
[8, 0, 4]: ['10.0.0.9', '10.0.0.1', 'https']
[4, 1, 4]: ['10.0.0.5', '10.0.0.2', 'https']
[0, 3, 4]: ['10.0.0.1', '10.0.0.4', 'https']
[3, 7, 4]: ['10.0.0.4', '10.0.0.8', 'https']
[1, 9, 4]: ['10.0.0.2', '10.0.0.10', 'https']
[3, 9, 4]: ['10.0.0.4', '10.0.0.10', 'https']
[8, 6, 4]: ['10.0.0.9', '10.0.0.7', 'https']
[7, 5, 4]: ['10.0.0.8', '10.0.0.6', 'https']
[5, 2, 4]: ['10.0.0.6', '10.0.0.3', 'https']
[5, 7, 4]: ['10.0.0.6', '10.0.0.8', 'https']
[2, 0, 4]: ['10.0.0.3', '10.0.0.1', 'https']
[8, 9, 4]: ['10.0.0.9', '10.0.0.10', 'https']
[1, 6, 4]: ['10.0.0.2', '10.0.0.7', 'https']
[7, 5, 4]: ['10.0.0.8', '10.0.0.6', 'https']
[4, 0, 4]: ['10.0.0.5', '10.0.0.1', 'https']
[2, 5, 4]: ['10.0.0.3', '10.0.0.6', 'https']
[1, 5, 4]: ['10.0.0.2', '10.0.0.6', 'https']
[5, 4, 4]: ['10.0.0.6', '10.0.0.5', 'https']
[3, 1, 4]: ['10.0.0.4', '10.0.0.2', 'https']
[4, 6, 4]: ['10.0.0.5', '10.0.0.7', 'https']
[9, 3, 4]: ['10.0.0.10', '10.0.0.4', 'https']
[6, 8, 4]: ['10.0.0.7', '10.0.0.9', 'https']
[0, 5, 4]: ['10.0.0.1', '10.0.0.6', 'https']
[1, 7, 4]: ['10.0.0.2', '10.0.0.8', 'https']
[0, 2, 4]: ['10.0.0.1', '10.0.0.3', 'https']
[5, 8, 4]: ['10.0.0.6', '10.0.0.9', 'https']
[7, 4, 4]: ['10.0.0.8', '10.0.0.5', 'https']
[8, 0, 4]: ['10.0.0.9', '10.0.0.1', 'https']
[9, 2, 4]: ['10.0.0.10', '10.0.0.3', 'https']
[4, 6, 4]: ['10.0.0.5', '10.0.0.7', 'https']
[4, 3, 4]: ['10.0.0.5', '10.0.0.4', 'https']
[8, 7, 4]: ['10.0.0.9', '10.0.0.8', 'https']
[0, 6, 4]: ['10.0.0.1', '10.0.0.7', 'https']
[1, 4, 4]: ['10.0.0.2', '10.0.0.5', 'https']
[3, 7, 4]: ['10.0.0.4', '10.0.0.8', 'https']
[9, 8, 4]: ['10.0.0.10', '10.0.0.9', 'https']
[5, 3, 4]: ['10.0.0.6', '10.0.0.4', 'https']
[7, 4, 4]: ['10.0.0.8', '10.0.0.5', 'https']
[5, 6, 4]: ['10.0.0.6', '10.0.0.7', 'https']
[3, 8, 4]: ['10.0.0.4', '10.0.0.9', 'https']
[9, 0, 4]: ['10.0.0.10', '10.0.0.1', 'https']
[8, 5, 4]: ['10.0.0.9', '10.0.0.6', 'https']
[6, 4, 4]: ['10.0.0.7', '10.0.0.5', 'https']
[0, 9, 4]: ['10.0.0.1', '10.0.0.10', 'https']
[6, 2, 4]: ['10.0.0.7', '10.0.0.3', 'https']
[4, 5, 4]: ['10.0.0.5', '10.0.0.6', 'https']
[2, 5, 4]: ['10.0.0.3', '10.0.0.6', 'https']
[6, 3, 4]: ['10.0.0.7', '10.0.0.4', 'https']
[8, 3, 4]: ['10.0.0.9', '10.0.0.4', 'https']
[7, 3, 4]: ['10.0.0.8', '10.0.0.4', 'https']
[9, 5, 4]: ['10.0.0.10', '10.0.0.6', 'https']
[6, 8, 4]: ['10.0.0.7', '10.0.0.9', 'https']
[0, 8, 4]: ['10.0.0.1', '10.0.0.9', 'https']
[7, 6, 4]: ['10.0.0.8', '10.0.0.7', 'https']
[5, 9, 4]: ['10.0.0.6', '10.0.0.10', 'https']
[8, 5, 4]: ['10.0.0.9', '10.0.0.6', 'https']
[0, 9, 4]: ['10.0.0.1', '10.0.0.10', 'https']
[1, 9, 4]: ['10.0.0.2', '10.0.0.10', 'https']
[3, 0, 4]: ['10.0.0.4', '10.0.0.1', 'https']
[4, 7, 4]: ['10.0.0.5', '10.0.0.8', 'https']
[4, 7, 4]: ['10.0.0.5', '10.0.0.8', 'https']
[4, 3, 4]: ['10.0.0.5', '10.0.0.4', 'https']
[5, 6, 4]: ['10.0.0.6', '10.0.0.7', 'https']
[7, 5, 4]: ['10.0.0.8', '10.0.0.6', 'https']
[0, 6, 4]: ['10.0.0.1', '10.0.0.7', 'https']
[0, 9, 4]: ['10.0.0.1', '10.0.0.10', 'https']
[1, 2, 4]: ['10.0.0.2', '10.0.0.3', 'https']
[4, 8, 4]: ['10.0.0.5', '10.0.0.9', 'https']
[2, 5, 4]: ['10.0.0.3', '10.0.0.6', 'https']
[7, 4, 4]: ['10.0.0.8', '10.0.0.5', 'https']
[3, 6, 4]: ['10.0.0.4', '10.0.0.7', 'https']
[5, 6, 4]: ['10.0.0.6', '10.0.0.7', 'https']
[9, 3, 4]: ['10.0.0.10', '10.0.0.4', 'https']
[8, 0, 4]: ['10.0.0.9', '10.0.0.1', 'https']
[6, 3, 4]: ['10.0.0.7', '10.0.0.4', 'https']
[4, 1, 4]: ['10.0.0.5', '10.0.0.2', 'https']
[1, 4, 4]: ['10.0.0.2', '10.0.0.5', 'https']
[7, 6, 4]: ['10.0.0.8', '10.0.0.7', 'https']
[7, 1, 4]: ['10.0.0.8', '10.0.0.2', 'https']
[6, 2, 4]: ['10.0.0.7', '10.0.0.3', 'https']
[6, 5, 4]: ['10.0.0.7', '10.0.0.6', 'https']
[1, 2, 4]: ['10.0.0.2', '10.0.0.3', 'https']
[0, 3, 4]: ['10.0.0.1', '10.0.0.4', 'https']
[4, 3, 4]: ['10.0.0.5', '10.0.0.4', 'https']
[6, 9, 4]: ['10.0.0.7', '10.0.0.10', 'https']
[1, 2, 4]: ['10.0.0.2', '10.0.0.3', 'https']
[9, 0, 4]: ['10.0.0.10', '10.0.0.1', 'https']
[3, 8, 4]: ['10.0.0.4', '10.0.0.9', 'https']
[5, 7, 4]: ['10.0.0.6', '10.0.0.8', 'https']
[1, 2, 4]: ['10.0.0.2', '10.0.0.3', 'https']
[5, 7, 4]: ['10.0.0.6', '10.0.0.8', 'https']
[6, 2, 4]: ['10.0.0.7', '10.0.0.3', 'https']
[9, 7, 4]: ['10.0.0.10', '10.0.0.8', 'https']
[9, 7, 4]: ['10.0.0.10', '10.0.0.8', 'https']
[0, 9, 4]: ['10.0.0.1', '10.0.0.10', 'https']
[9, 0, 4]: ['10.0.0.10', '10.0.0.1', 'https']
[5, 7, 4]: ['10.0.0.6', '10.0.0.8', 'https']
[8, 9, 4]: ['10.0.0.9', '10.0.0.10', 'https']
[3, 6, 4]: ['10.0.0.4', '10.0.0.7', 'https']
[0, 3, 4]: ['10.0.0.1', '10.0.0.4', 'https']
[7, 6, 4]: ['10.0.0.8', '10.0.0.7', 'https']
[4, 6, 4]: ['10.0.0.5', '10.0.0.7', 'https']
[4, 7, 4]: ['10.0.0.5', '10.0.0.8', 'https']
[0, 4, 4]: ['10.0.0.1', '10.0.0.5', 'https']
[8, 1, 4]: ['10.0.0.9', '10.0.0.2', 'https']
[5, 0, 4]: ['10.0.0.6', '10.0.0.1', 'https']
[8, 0, 4]: ['10.0.0.9', '10.0.0.1', 'https']
[3, 2, 4]: ['10.0.0.4', '10.0.0.3', 'https']
[5, 0, 4]: ['10.0.0.6', '10.0.0.1', 'https']
[9, 8, 4]: ['10.0.0.10', '10.0.0.9', 'https']
[7, 8, 4]: ['10.0.0.8', '10.0.0.9', 'https']
[0, 5, 4]: ['10.0.0.1', '10.0.0.6', 'https']
[1, 4, 4]: ['10.0.0.2', '10.0.0.5', 'https']
[3, 4, 4]: ['10.0.0.4', '10.0.0.5', 'https']
[7, 0, 4]: ['10.0.0.8', '10.0.0.1', 'https']
[9, 1, 4]: ['10.0.0.10', '10.0.0.2', 'https']
[8, 0, 4]: ['10.0.0.9', '10.0.0.1', 'https']
[2, 9, 4]: ['10.0.0.3', '10.0.0.10', 'https']
[3, 9, 4]: ['10.0.0.4', '10.0.0.10', 'https']
[3, 1, 4]: ['10.0.0.4', '10.0.0.2', 'https']
[4, 0, 4]: ['10.0.0.5', '10.0.0.1', 'https']
[5, 0, 4]: ['10.0.0.6', '10.0.0.1', 'https']
[6, 5, 4]: ['10.0.0.7', '10.0.0.6', 'https']
[6, 7, 4]: ['10.0.0.7', '10.0.0.8', 'https']
[0, 8, 4]: ['10.0.0.1', '10.0.0.9', 'https']
